source,destination,status
/services/wrongful-termination-los-angeles.html,/local-employment-law/wrongful-termination-los-angeles/,301
/services/workplace-discrimination-los-angeles.html,/local-employment-law/workplace-discrimination-los-angeles/,301
/services/wage-hour-los-angeles.html,/local-employment-law/wage-hour-los-angeles/,301
/services/retaliation-los-angeles.html,/local-employment-law/retaliation-los-angeles/,301
/services/workplace-harassment-los-angeles.html,/local-employment-law/workplace-harassment-los-angeles/,301
/services/wrongful-termination-pasadena.html,/local-employment-law/wrongful-termination-pasadena/,301
/services/workplace-discrimination-pasadena.html,/local-employment-law/workplace-discrimination-pasadena/,301
/practice-areas/wage-hour-pasadena/,/local-employment-law/wage-hour-pasadena/,301
/practice-areas/retaliation-pasadena/,/local-employment-law/retaliation-pasadena/,301
/practice-areas/workplace-harassment-pasadena/,/local-employment-law/workplace-harassment-pasadena/,301
/practice-areas/wrongful-termination-glendale/,/local-employment-law/wrongful-termination-glendale/,301
/practice-areas/workplace-discrimination-glendale/,/local-employment-law/workplace-discrimination-glendale/,301
/practice-areas/wage-hour-glendale/,/local-employment-law/wage-hour-glendale/,301
/practice-areas/retaliation-glendale/,/local-employment-law/retaliation-glendale/,301
/glendale/workplace-harassment/,/local-employment-law/workplace-harassment-glendale/,301
/santa-monica/wrongful-termination/,/local-employment-law/wrongful-termination-santa-monica/,301
/santa-monica/workplace-discrimination/,/local-employment-law/workplace-discrimination-santa-monica/,301
/santa-monica/wage-hour/,/local-employment-law/wage-hour-santa-monica/,301
/santa-monica/retaliation/,/local-employment-law/retaliation-santa-monica/,301
/santa-monica/workplace-harassment/,/local-employment-law/workplace-harassment-santa-monica/,301

